Title,Start Date,Audience Score,Critics Score,Audience Sentiment,Critics Sentiment
Drive-Away Dolls,"Streaming Mar 12, 2024",36,63,negative,positive
Jonah,"Streaming Mar 12, 2024",76,,positive,
The Lionheart,"Streaming Mar 12, 2024",95,,positive,
Inshallah a Boy,"Streaming Mar 12, 2024",53,100,negative,positive
Household Saints,"Streaming Mar 12, 2024",74,68,positive,positive
Sheeps Clothing,"Streaming Mar 12, 2024",,,,
Damsel,"Streaming Mar 8, 2024",62,57,positive,negative
Night Shift,"Streaming Mar 8, 2024",88,38,positive,negative
5lbs of Pressure,"Streaming Mar 8, 2024",75,56,positive,negative
American Dreamer,"Streaming Mar 8, 2024",70,48,positive,negative
The Piper,"Streaming Mar 8, 2024",,60,,positive
Space: The Longest Goodbye,"Streaming Mar 8, 2024",,79,,positive
The Princess Warrior,"Streaming Mar 8, 2024",,,,
Ricky Stanicky,"Streaming Mar 7, 2024",73,47,positive,negative
Bella,"Streaming Mar 6, 2024",89,,positive,
Argylle,"Streaming Mar 5, 2024",72,32,positive,negative
Perfect Days,"Streaming Mar 5, 2024",90,96,positive,positive
Hannah Gadsby's Gender Agenda,"Streaming Mar 5, 2024",42,,negative,
Before I Change My Mind,"Streaming Mar 5, 2024",33,100,negative,positive
The Troubles: A Dublin Story,"Streaming Mar 5, 2024",,,,
Spaceman,"Streaming Mar 1, 2024",65,51,positive,negative
Megamind vs. the Doom Syndicate,"Streaming Mar 1, 2024",7,9,negative,negative
Scrambled,"Streaming Mar 1, 2024",90,94,positive,positive
Amelia's Children,"Streaming Mar 1, 2024",65,42,positive,negative
Sex-Positive,"Streaming Mar 1, 2024",80,,positive,
The Reverend,"Streaming Mar 1, 2024",,100,,positive
Butchers Book Two: Raghorn,"Streaming Feb 29, 2024",,,,
Code 8: Part II,"Streaming Feb 28, 2024",58,69,negative,positive
Poor Things,"Streaming Feb 27, 2024",79,92,positive,positive
Out of Darkness,"Streaming Feb 27, 2024",54,86,negative,positive
Monster,"Streaming Feb 27, 2024",92,97,positive,positive
#chadgetstheaxe,"Streaming Sep 1, 2023",67,100,positive,positive
100 Days to Live,"Streaming Feb 2, 2021",88,100,positive,positive
11:55,"Streaming Jun 9, 2017",78,100,positive,positive
12 Angry Men,"Streaming Apr 4, 2012",97,100,positive,positive
2040,"Streaming Jun 5, 2020",48,100,negative,positive
32 Pills: My Sister's Suicide,"Streaming Nov 19, 2017",50,100,negative,positive
5B,"Streaming Aug 27, 2019",97,100,positive,positive
76 Days,"Streaming Mar 5, 2021",84,100,positive,positive
A Beautiful Planet,"Streaming Jun 11, 2020",78,100,positive,positive
A Crime on the Bayou,"Streaming Aug 3, 2021",83,100,positive,positive
A Disturbance in The Force,"Streaming Dec 5, 2023",80,100,positive,positive
A Gray State,"Streaming Dec 25, 2017",58,100,negative,positive
A Most Beautiful Thing,"Streaming Jul 31, 2020",96,100,positive,positive
A New Old Play,"Streaming May 16, 2023",67,100,positive,positive
A Peloton of One,"Streaming Mar 11, 2022",,100,,positive
A Place of Our Own,"Streaming Jan 16, 2024",64,100,positive,positive
A River Below,"Streaming Feb 23, 2018",83,100,positive,positive
A Secret Love,"Streaming Apr 29, 2020",89,100,positive,positive
A Tuba to Cuba,"Streaming Mar 15, 2019",83,100,positive,positive
A.rtificial I.mmortality,"Streaming Jan 11, 2022",,100,,positive
AVA: A Twist in the Road,"Streaming Jan 1, 2022",92,100,positive,positive
Abortion: Stories Women Tell,"Streaming Apr 23, 2017",62,100,positive,positive
About a Teacher,"Streaming Apr 17, 2020",,100,,positive
"Acasa, My Home","Streaming Mar 15, 2021",86,100,positive,positive
Act & Punishment,"Streaming Jan 23, 2018",,100,,positive
Afghan Cycles,"Streaming Mar 8, 2019",83,100,positive,positive
After Auschwitz,"Streaming Jan 22, 2019",85,100,positive,positive
After Parkland,"Streaming Feb 19, 2020",58,100,negative,positive
Aida's Secrets,"Streaming Jan 16, 2018",79,100,positive,positive
Alice Is Still Dead,"Streaming Nov 5, 2021",60,100,positive,positive
Alive and Kicking,"Streaming Apr 7, 2017",93,100,positive,positive
All In: The Fight for Democracy,"Streaming Sep 18, 2020",67,100,positive,positive
10 Minutes Gone,"Streaming Sep 27, 2019",16,0,negative,negative
9 Bullets,"Streaming Apr 22, 2022",41,0,negative,negative
96 Souls,"Streaming Jun 1, 2017",94,0,positive,negative
A Clear Shot,"Streaming May 28, 2020",,0,,negative
Acts of Violence,"Streaming Jan 12, 2018",31,0,negative,negative
Air Strike,"Streaming Oct 27, 2018",12,0,negative,negative
All Roads Lead to Rome,"Streaming Feb 5, 2016",16,0,negative,negative
Amateur Night,"Streaming Oct 6, 2016",25,0,negative,negative
American Dresser,"Streaming Sep 21, 2018",70,0,positive,negative
Arjun Patiala,"Streaming Oct 19, 2019",,0,,negative
Armed Response,"Streaming Jul 9, 2017",16,0,negative,negative
Baaghi 3,"Streaming Sep 3, 2020",67,0,positive,negative
Backgammon,"Streaming Oct 21, 2016",64,0,positive,negative
Black Noise,"Streaming Nov 3, 2023",0,0,negative,negative
Black Water,"Streaming Jun 29, 2018",26,0,negative,negative
Boon,"Streaming Apr 1, 2022",25,0,negative,negative
Breaking & Exiting,"Streaming Aug 20, 2018",66,0,positive,negative
Bromates,"Streaming Oct 7, 2022",38,0,negative,negative
Bruce!!!,"Streaming Jul 5, 2019",,0,,negative
Cabin Fever,"Streaming Oct 1, 2016",12,0,negative,negative
Christmas Eve,"Streaming Nov 19, 2016",52,0,negative,negative
Commando 2,"Streaming Sep 20, 2018",53,0,negative,negative
Contract to Kill,"Streaming Feb 28, 2017",25,0,negative,negative
Daddy Issues,"Streaming Jun 23, 2020",,0,,negative
Dark Crimes,"Streaming May 18, 2018",30,0,negative,negative
Dead Man's Hand,"Streaming Jul 7, 2023",24,0,negative,negative
Death Warrant,"Streaming Nov 1, 2016",35,0,negative,negative
Death of a Nation,"Streaming Oct 16, 2018",88,0,positive,negative
Delirium,"Streaming Jan 19, 2018",36,0,negative,negative
Between Me and My Mind,"Streaming Oct 19, 2019",100,,positive,
Raise Hell: The Life & Times of Molly Ivins,"Streaming Aug 30, 2019",100,95,positive,positive
The Roundup,"Streaming Aug 9, 2022",100,96,positive,positive
Raging Fire,"Streaming Nov 23, 2021",100,91,positive,positive
Hesburgh,"Streaming Sep 10, 2019",100,82,positive,positive
The Bad Guys: Reign of Chaos,"Streaming Dec 17, 2019",100,,positive,
The Woman Who Loves Giraffes,"Streaming Apr 5, 2020",100,100,positive,positive
The Man Standing Next,"Streaming May 19, 2020",100,84,positive,positive
